Htno,Subcode,Subname,Internals,Grade,Credits
17B81A0208,R1631025,POWER ELECTRONICS,20,C,3.0
17B81A0209,R1631023,SIGNALS AND SYSTEMS,21,F,0.0
17B81A0221,R1631025,POWER ELECTRONICS,14,ABSENT,0.0
17B81A0242,R1631025,POWER ELECTRONICS,16,ABSENT,0.0
17B81A0262,R1631023,SIGNALS AND SYSTEMS,19,ABSENT,0.0
17B81A0262,R1631025,POWER ELECTRONICS,17,ABSENT,0.0
17B81A0468,R1631041,COMPUTER ARCHITECTURE AND ORGANIZATION,11,F,0.0
17B81A1264,R1631122,ADVANCED JAVA PROGRAMMING,14,D,3.0
18B81A0204,R1631021,POWER SYSTEMS-II,16,D,3.0
18B81A0204,R1631023,SIGNALS AND SYSTEMS,16,ABSENT,0.0
18B81A0208,R1631023,SIGNALS AND SYSTEMS,20,F,0.0
18B81A0213,R1631023,SIGNALS AND SYSTEMS,13,F,0.0
18B81A0213,R1631024,PULSE & DIGITAL CIRCUITS,14,F,0.0
18B81A0213,R1631025,POWER ELECTRONICS,16,F,0.0
18B81A0234,R1631021,POWER SYSTEMS-II,15,D,3.0
18B81A0262,R1631021,POWER SYSTEMS-II,18,D,3.0
18B81A0262,R1631022,RENEWABLE ENERGY SOURCES,17,C,3.0
18B81A0262,R1631025,POWER ELECTRONICS,21,F,0.0
18B81A0302,R1631035,THERMAL ENGINEERING -II,12,F,0.0
18B81A0330,R1631035,THERMAL ENGINEERING -II,16,D,3.0
18B81A0364,R1631031,DYNAMICS OF MACHINERY,26,C,3.0
18B81A0364,R1631034,OPERATIONS RESEARCH,20,D,3.0
18B81A0387,R1631032,METAL CUTTING & MACHINE TOOLS,14,F,0.0
18B81A0387,R1631033,DESIGN OF MACHINE MEMBERS-II,21,D,3.0
18B81A0387,R1631034,OPERATIONS RESEARCH,12,F,0.0
18B81A0487,R1631045,ANTENNA AND WAVE PROPAGATION,21,C,3.0
18B81A0540,R1631055,OPERATING SYSTEMS,23,D,3.0
18B81A1224,R1631054,DATABASE MANAGEMENT SYSTEMS,20,ABSENT,0.0
19B81A0110,R1931014,ENVIRONMENTAL ENGINEERING-II,17,C,3.0
19B81A0115,R1931013,WATER RESOURCES ENGINEERING-I,10,ABSENT,0.0
19B81A0134,R1931014,ENVIRONMENTAL ENGINEERING-II,20,D,3.0
19B81A0204,R1931021,POWER SYSTEMS-II,10,D,3.0
19B81A0218,R1931023,LINEAR IC APPLICATIONS,16,D,3.0
19B81A0226,R1931023,LINEAR IC APPLICATIONS,17,C,3.0
19B81A0231,R1931021,POWER SYSTEMS-II,10,F,0.0
19B81A0231,R1931023,LINEAR IC APPLICATIONS,15,D,3.0
19B81A0231,R1931025,MICROPROCESSORS AND MICROCONTROLLERS,12,F,0.0
19B81A0233,R1931023,LINEAR IC APPLICATIONS,15,F,0.0
19B81A0241,R1931021,POWER SYSTEMS-II,12,D,3.0
19B81A0243,R1931024,DIGITAL SIGNAL PROCESSING,19,F,0.0
19B81A0243,R1931025,MICROPROCESSORS AND MICROCONTROLLERS,18,D,3.0
19B81A0248,R1931021,POWER SYSTEMS-II,13,D,3.0
19B81A0254,R1931025,MICROPROCESSORS AND MICROCONTROLLERS,13,D,3.0
19B81A0264,R1931023,LINEAR IC APPLICATIONS,16,D,3.0
19B81A0264,R1931025,MICROPROCESSORS AND MICROCONTROLLERS,20,F,0.0
19B81A0275,R1931021,POWER SYSTEMS-II,10,ABSENT,0.0
19B81A0275,R1931022,POWER ELECTRONICS,11,ABSENT,0.0
19B81A0275,R1931023,LINEAR IC APPLICATIONS,12,ABSENT,0.0
